"ROI","Phase","Feature","Beta","SE","T","Df","Pvalue","Pfdr"
"LH_AMYG","Epoch","Sound",0.00978913197028525,0.0331196117099057,0.295569043986027,23.3848747666771,0.770167792046895,0.88101437146299
"LH_AMYG","Epoch","Color",-0.0247195981255963,0.0213973527928667,-1.15526431539873,3705.90399493939,0.248056684751959,0.443539537456729
"LH_AMYG","Epoch","Scene",-0.00379279144901557,0.0227571430007485,-0.166663778879925,3716.76766554269,0.867643672960585,0.934855506781476
"LH_ContA_Cingm_1","Epoch","Sound",0.0535718516193716,0.0310655554023747,1.7244775097527,30.7489738621554,0.0946624210257865,0.222164419973968
"LH_ContA_Cingm_1","Epoch","Color",-0.00450356503435445,0.0250692868612729,-0.179644720620736,3720.49305008367,0.857441276646954,0.928768250102542
"LH_ContA_Cingm_1","Epoch","Scene",-0.0365463438179565,0.0266358552077557,-1.37207322734339,3728.7636257614,0.170123179728394,0.333703160236466
"LH_ContA_IPS_1","Epoch","Sound",0.049732635018064,0.0916760274114742,0.542482439764176,27.3331716083236,0.591882295194686,0.76420245708681
"LH_ContA_IPS_1","Epoch","Color",0.108466266718324,0.0477004845013985,2.27390283038203,3698.1732456248,0.0230288936004747,0.0796253270253701
"LH_ContA_IPS_1","Epoch","Scene",0.109308360319942,0.0507554742314813,2.15362701216066,3706.28427713844,0.0313337323488376,0.100927601039414
"LH_ContA_IPS_2","Epoch","Sound",0.0952292712576547,0.0532539102798038,1.78821180937336,28.6513070322205,0.084322911647519,0.209734252926511
"LH_ContA_IPS_2","Epoch","Color",0.0633718243165622,0.0335904980075814,1.88659972538243,3706.82583670401,0.0592922738977069,0.16180987738231
"LH_ContA_IPS_2","Epoch","Scene",0.0938265359956768,0.0357265087737818,2.62624418718832,3717.04541432646,0.00866869922627903,0.0430339793978546
"LH_ContA_IPS_3","Epoch","Sound",0.0606367675989916,0.0558377016564647,1.08594669551502,28.5074778075729,0.286600395634865,0.48644681599311
"LH_ContA_IPS_3","Epoch","Color",0.0777486411275707,0.0350931136285791,2.21549566534483,3702.78908471279,0.0267866757433987,0.0890948127986958
"LH_ContA_IPS_3","Epoch","Scene",0.121990587365335,0.0373385980553513,3.2671442881839,3710.59579753935,0.00109627119949451,0.00957022718126871
"LH_ContA_PFCd_1","Epoch","Sound",0.0894676813678343,0.038436064723298,2.32770139221884,29.4727255113671,0.0269909694300811,0.0892890448173494
"LH_ContA_PFCd_1","Epoch","Color",0.0264190365047657,0.0242958529821045,1.08738872120378,3704.3549876258,0.276935799440899,0.481095404474526
"LH_ContA_PFCd_1","Epoch","Scene",0.12893879060818,0.025847123003734,4.98851615282494,3713.15512580858,0.000000636325608013245,0.0000324526060086755
"LH_ContA_PFCl_1","Epoch","Sound",0.0587511831190796,0.0489841684554903,1.19939125173604,24.3768710986845,0.241904494387754,0.436712538540725
"LH_ContA_PFCl_1","Epoch","Color",0.0230161380057532,0.0320965594743517,0.717090503863672,3699.16463507679,0.473363529428681,0.672154245963695
"LH_ContA_PFCl_1","Epoch","Scene",0.10750634458087,0.0441534819266075,2.43483276719983,25.1975025109292,0.0223105247480762,0.0780248311610706
"LH_ContA_PFCl_2","Epoch","Sound",0.0889509401032972,0.0527728160850971,1.6855446933107,27.3218534314212,0.103273155572951,0.236715997043618
"LH_ContA_PFCl_2","Epoch","Color",0.0764829978208577,0.0333722831771973,2.2918119630819,3702.07034301199,0.02197237941779,0.0780248311610706
"LH_ContA_PFCl_2","Epoch","Scene",0.188909900788297,0.0518723898226678,3.64181988595685,23.6454509138876,0.0013184528967331,0.0107585756373421
"LH_ContA_PFCl_3","Epoch","Sound",0.100797338283464,0.0563664678029362,1.7882500396488,27.7828209829206,0.0846476478314512,0.209734252926511
"LH_ContA_PFCl_3","Epoch","Color",0.0124053264210252,0.0313767023118266,0.395367438481556,3700.08270115586,0.692594528167888,0.834385533934543
"LH_ContA_PFCl_3","Epoch","Scene",0.126032735555479,0.0333827614502646,3.7753837633609,3709.01409215766,0.00016226264738964,0.00236439857624904
"LH_ContA_PFClv_1","Epoch","Sound",0.0265781343855306,0.0389014977083733,0.683216224341147,29.1547124799239,0.499864105121973,0.682340052213155
"LH_ContA_PFClv_1","Epoch","Color",-0.0296823943291819,0.0308651152565558,-0.96168098134276,3706.68747290667,0.336272607181574,0.534542430117203
"LH_ContA_PFClv_1","Epoch","Scene",0.0687075166427549,0.0328380541758066,2.09231388300027,3712.79664877705,0.0364781905149462,0.112750770682561
"LH_ContA_Temp_1","Epoch","Sound",0.187817367879387,0.0482710779561159,3.89088820535839,27.1480490888732,0.000585975811516164,0.0058789704368507
"LH_ContA_Temp_1","Epoch","Color",0.0829237761347439,0.0383660386327038,2.16138488856283,28.3549690345392,0.0392548995699034,0.119522380780004
"LH_ContA_Temp_1","Epoch","Scene",0.240643672593688,0.0443443899601568,5.42669935948842,24.7348484102921,0.0000128428022154488,0.000357263407084304
"LH_ContB_IPL_1","Epoch","Sound",0.0455969037118784,0.0685414344069104,0.665245834237769,28.4873477598886,0.511243766663165,0.692215011499684
"LH_ContB_IPL_1","Epoch","Color",-0.0298535259307549,0.0437247579165072,-0.682760233636067,3705.23763807366,0.494801045670874,0.682023062951746
"LH_ContB_IPL_1","Epoch","Scene",0.0874888324005829,0.0465108114164133,1.88104291746905,3715.01519442772,0.0600442262752866,0.161881350134253
"LH_ContB_PFCl_1","Epoch","Sound",0.0606920013716052,0.0480533192179025,1.26301371808244,27.9564685592169,0.217017065497068,0.403691319404881
"LH_ContB_PFCl_1","Epoch","Color",-0.0297619408062709,0.0296036448903686,-1.00534717655506,3700.02807383066,0.314795447244972,0.515955936755046
"LH_ContB_PFCl_1","Epoch","Scene",0.00579942804302853,0.0396824667730053,0.14614585520106,23.8391417826354,0.885035050919878,0.93872001934656
"LH_ContB_PFClv_1","Epoch","Sound",0.0146879078564393,0.0598871528375462,0.245259745379492,28.6074570191988,0.808006238273229,0.900728265616059
"LH_ContB_PFClv_1","Epoch","Color",-0.065870790612056,0.0410118368305767,-1.60614095106673,3706.87382666033,0.108328119289537,0.244637671605892
"LH_ContB_PFClv_1","Epoch","Scene",0.00633887728271077,0.0563522228760002,0.112486730056046,26.5368937030959,0.911284096704046,0.951716496899106
"LH_ContB_PFClv_2","Epoch","Sound",-0.0720325906158581,0.0416047660537195,-1.73135430019846,3710.82749632246,0.0834717063577332,0.208748409589021
"LH_ContB_PFClv_2","Epoch","Color",-0.0777819262678016,0.0413443412633172,-1.88131976205444,3707.76643548429,0.0600067211597399,0.161881350134253
"LH_ContB_PFClv_2","Epoch","Scene",-0.0551683127805854,0.0602318613737073,-0.915932390637819,25.6465032367939,0.368234977075744,0.569090419117059
"LH_ContB_Temp_1","Epoch","Sound",0.0470137906742998,0.0522376308724941,0.899998523842993,27.216368898426,0.37601579799383,0.576746036020611
"LH_ContB_Temp_1","Epoch","Color",0.00486834839130195,0.0315030076783276,0.154535987198807,3698.00238122334,0.87719557151287,0.938562620514744
"LH_ContB_Temp_1","Epoch","Scene",0.0349870806997928,0.0434869331236667,0.804542380588156,25.8985704836755,0.428407944977886,0.631772680304737
"LH_ContC_Cingp_1","Epoch","Sound",-0.0804226117420158,0.0526503651338199,-1.52748440656789,21.3166083141022,0.1413436672686,0.291634241031126
"LH_ContC_Cingp_1","Epoch","Color",-0.0768914179806632,0.0330802458706768,-2.32439076424223,3702.24944163427,0.0201583962185741,0.0743189065407673
"LH_ContC_Cingp_1","Epoch","Scene",-0.0956187457524596,0.0485989871700228,-1.96750490741585,23.4109769013464,0.0610827664559675,0.163959004697597
"LH_ContC_pCun_1","Epoch","Sound",-0.0933020084718884,0.0695069228834061,-1.3423412316554,24.7372786009275,0.191675738000294,0.363175082526872
"LH_ContC_pCun_1","Epoch","Color",-0.0902597389591899,0.0445569270219928,-2.02571732369781,3702.11201690632,0.04286535376448,0.127968763433472
"LH_ContC_pCun_1","Epoch","Scene",-0.117102827835619,0.0474099249166676,-2.47000660814061,3709.59842963052,0.0135557272510519,0.0551611987787846
