"ROI","Phase","Feature","Beta","SE","T","Pvalue","Pfdr"
"LH_AMYG","Onset","MemoryDetail",0.102771353305606,0.0449453570917009,2.28658442063158,0.0313635143844594,0.13041230763022
"LH_ContA_Cinga_1","Onset","MemoryDetail",0.0187961516999158,0.0897612246854921,0.209401685034649,0.835678809365906,0.949868520477465
"LH_ContA_IPS_1","Onset","MemoryDetail",0.289043227740702,0.140411989447413,2.05853665971277,0.0490952875525269,0.172679976908888
"LH_ContA_IPS_2","Onset","MemoryDetail",0.203487692227271,0.116418025912056,1.7479053663132,0.0926522768551944,0.264350552146289
"LH_ContA_IPS_3","Onset","MemoryDetail",0.232346622010379,0.120322404673283,1.93103373092717,0.0645663960523565,0.205805387416886
"LH_ContA_PFCd_1","Onset","MemoryDetail",0.116761150127533,0.0792369037163071,1.47357032709877,0.152265950546629,0.359101201289159
"LH_ContA_PFCl_1","Onset","MemoryDetail",0.0802050554690803,0.0951841434137839,0.842630427637652,0.407519377035361,0.66507162332171
"LH_ContA_PFCl_2","Onset","MemoryDetail",0.297785853281974,0.105319918292665,2.8274409827634,0.00886881849159893,0.0532129109495936
"LH_ContA_PFCl_3","Onset","MemoryDetail",0.419030764622795,0.0988032216296362,4.24106378022299,0.000216047364383451,0.00753766555996319
"LH_ContA_PFCl_4","Onset","MemoryDetail",0.183995028237584,0.0949253100371075,1.9383136927934,0.0640038465031255,0.205618656482482
"LH_ContA_Temp_1","Onset","MemoryDetail",0.392539453801007,0.0989315428696295,3.96778865885362,0.000512948287523263,0.0116268278505273
"LH_ContB_IPL_1","Onset","MemoryDetail",-0.0610334884271318,0.122687591046739,-0.497470754021737,0.623313518364855,0.839313252451686
"LH_ContB_PFCl_1","Onset","MemoryDetail",-0.060648024561634,0.0646929933337737,-0.93747439152691,0.35866628980599,0.606654843961086
"LH_ContB_PFClv_1","Onset","MemoryDetail",-0.0373875124199406,0.114954464936297,-0.325237583774229,0.748010353525771,0.909122229960283
"LH_ContB_PFClv_2","Onset","MemoryDetail",-0.252494662526461,0.106988832524787,-2.36000951284296,0.0274262576132443,0.116561594856288
"LH_ContB_Temp_1","Onset","MemoryDetail",0.0239190593728847,0.0752144524168619,0.318011480563839,0.753145376780823,0.909122229960283
"LH_ContC_Cingp_1","Onset","MemoryDetail",-0.371928404228582,0.123994603557178,-2.99955315440057,0.00569217144779362,0.0393628127237254
"LH_ContC_pCun_1","Onset","MemoryDetail",-0.195747287460304,0.105475911178124,-1.8558482716469,0.0753932202948898,0.228091078522041
"LH_ContC_pCun_2","Onset","MemoryDetail",-0.0123468900218861,0.0907759060414211,-0.136015056861589,0.892962173635112,0.950454975883004
"LH_DefaultA_IPL_1","Onset","MemoryDetail",-0.127437101518124,0.114102419326549,-1.11686590232072,0.274569503298421,0.516724985967365
"LH_DefaultA_PCC_1","Onset","MemoryDetail",-0.218379746801038,0.0841694817110732,-2.59452407644216,0.0153828877473394,0.0765392463526156
"LH_DefaultA_PCC_2","Onset","MemoryDetail",-0.313028583768768,0.0708484448652239,-4.4182844713705,0.000156341501273459,0.00708748139106349
"LH_DefaultA_PCC_3","Onset","MemoryDetail",-0.22806486436406,0.0725302291292463,-3.14441119381625,0.00422259371649202,0.036665843418289
"LH_DefaultA_PFCd_1","Onset","MemoryDetail",0.0130882123934813,0.065773700998199,0.198988534852854,0.843944512685027,0.950454975883004
"LH_DefaultA_PFCm_1","Onset","MemoryDetail",-0.152295363978329,0.0630901414990969,-2.41393283260443,0.0234235399206609,0.103260771358093
"LH_DefaultA_PFCm_2","Onset","MemoryDetail",-0.255056169848734,0.0722904699250791,-3.52821291814911,0.00158943648417769,0.0199882428103578
"LH_DefaultA_PFCm_3","Onset","MemoryDetail",-0.324516440496105,0.0967148648885765,-3.35539361886071,0.00253671313878563,0.0265379220672958
"LH_DefaultB_IPL_1","Onset","MemoryDetail",-0.0281575240845639,0.0975674057674348,-0.288595600785791,0.775357794355539,0.91991905715683
"LH_DefaultB_PFCd_1","Onset","MemoryDetail",-0.19564832019521,0.120533676081142,-1.62318388151956,0.118815356925004,0.308768570862431
"LH_DefaultB_PFCd_2","Onset","MemoryDetail",-0.016797051646457,0.079795841898123,-0.210500337447434,0.835036330709672,0.949868520477465
"LH_DefaultB_PFCd_3","Onset","MemoryDetail",-0.135547601835676,0.0901683281808497,-1.50327287386109,0.146239531064474,0.348922389908219
"LH_DefaultB_PFCd_4","Onset","MemoryDetail",0.141282215204999,0.0824667381494588,1.71320241803364,0.0996659133130516,0.27662375939949
"LH_DefaultB_PFCv_1","Onset","MemoryDetail",-0.103924456264286,0.0587230847138855,-1.76973768954124,0.0907935054853695,0.261168228836379
"LH_DefaultB_PFCv_2","Onset","MemoryDetail",0.0382234544428654,0.0543889128470169,0.702780262410813,0.488677687438677,0.719785185830253
"LH_DefaultB_PFCv_3","Onset","MemoryDetail",0.209033106052687,0.101113677480898,2.06730791778568,0.0497538807168975,0.17350071224354
"LH_DefaultB_PFCv_4","Onset","MemoryDetail",0.21402570867025,0.0628443608811396,3.4056469931335,0.00217732863581383,0.0233776337740012
"LH_DefaultB_Temp_1","Onset","MemoryDetail",-0.083170833128249,0.0376304526840978,-2.21020017554549,0.0356962885658938,0.136112950793315
"LH_DefaultB_Temp_2","Onset","MemoryDetail",-0.137999266779275,0.0307527281692262,-4.4873829085957,0.000129292490084706,0.00659391699431999
"LH_DefaultB_Temp_3","Onset","MemoryDetail",-0.0123985891079912,0.0441980722102355,-0.280523300858355,0.781311117826354,0.923985321951166
"LH_DefaultB_Temp_4","Onset","MemoryDetail",-0.073996344477728,0.0989680344505603,-0.747679236922635,0.462471618425871,0.698846001176872
"LH_DefaultC_IPL_1","Onset","MemoryDetail",0.474439079868476,0.126776673150749,3.74232158075581,0.000852471703740768,0.0158094752330106
"LH_DefaultC_PHC_1","Onset","MemoryDetail",0.152489397092461,0.0495390768755867,3.07816388011076,0.00466635884359407,0.0378305395032481
"LH_DefaultC_Rsp_1","Onset","MemoryDetail",0.26245243178113,0.0935446842522466,2.80563704799534,0.00919888518244605,0.0543934080353332
"LH_DorsAttnA_SPL_1","Onset","MemoryDetail",0.478482587161705,0.120626007864165,3.96666188025153,0.000494618807683079,0.0116268278505273
"LH_DorsAttnA_SPL_2","Onset","MemoryDetail",0.413222955705797,0.132457544577827,3.11966341383448,0.00435883686875382,0.0370501133844075
"LH_DorsAttnA_SPL_3","Onset","MemoryDetail",0.192122780949438,0.104496176727648,1.83856277775764,0.0774114647651821,0.232234394295546
"LH_DorsAttnA_TempOcc_1","Onset","MemoryDetail",0.296109996336409,0.061778259847336,4.79311002071189,0.0000529754940778403,0.00659391699431999
"LH_DorsAttnA_TempOcc_2","Onset","MemoryDetail",0.411948349828448,0.0975199286276584,4.22424786016109,0.00025843310926019,0.00753766555996319
"LH_DorsAttnA_TempOcc_3","Onset","MemoryDetail",0.081575638726047,0.0826074625828389,0.98750931423711,0.332359488520148,0.584494272914743
"LH_DorsAttnB_FEF_1","Onset","MemoryDetail",0.266663896953271,0.0631599848012068,4.22203864982843,0.000237856776716453,0.00753766555996319
"LH_DorsAttnB_PostC_1","Onset","MemoryDetail",0.14601073068222,0.095542138028302,1.52823386304133,0.139684034435332,0.340570494585286
"LH_DorsAttnB_PostC_2","Onset","MemoryDetail",0.0397552883479312,0.110881052329891,0.358539962532573,0.722753707700561,0.893724935555407
"LH_DorsAttnB_PostC_3","Onset","MemoryDetail",-0.0671369753936373,0.0683119973167422,-0.98279918653737,0.334779875589459,0.58589590426492
"LH_DorsAttnB_PostC_4","Onset","MemoryDetail",0.064249130913323,0.0672055184730122,0.956009749989856,0.348380670442327,0.599743938989323
"LH_HIPP","Onset","MemoryDetail",0.0261242741013265,0.0436315115007494,0.598747859121906,0.554754911964568,0.772491481506975
"LH_Limbic_OFC_1","Onset","MemoryDetail",-0.0274831353354549,0.0358745802309708,-0.766089391388293,0.450926544894576,0.691646730514989
"LH_Limbic_OFC_2","Onset","MemoryDetail",-0.0580058241508521,0.0251968747433288,-2.30210392128928,0.0213884183478984,0.099164485067529
"LH_Limbic_TempPole_1","Onset","MemoryDetail",0.0370626967766531,0.0316659557288667,1.17042722771404,0.252757849825272,0.503049769408347
"LH_Limbic_TempPole_2","Onset","MemoryDetail",0.0831033364250563,0.0342038227644349,2.42965053928028,0.0221145290499261,0.100252531692998
"LH_Limbic_TempPole_3","Onset","MemoryDetail",0.00493997542886997,0.0293378200236731,0.168382498252557,0.866291746991489,0.950454975883004
"LH_Limbic_TempPole_4","Onset","MemoryDetail",0.0196151828989004,0.0826772254673121,0.237250134943819,0.814620150447496,0.948038019577251
"LH_SalVentAttnA_FrMed_1","Onset","MemoryDetail",-0.0129609766016896,0.0799644928138701,-0.162084146920788,0.872498503027823,0.950454975883004
"LH_SalVentAttnA_FrMed_2","Onset","MemoryDetail",0.0817163308750365,0.0805984598934417,1.01386963203854,0.32016059516494,0.57291895976884
"LH_SalVentAttnA_Ins_1","Onset","MemoryDetail",-0.00424013271337347,0.0389548338829135,-0.108847408414525,0.914322749208999,0.960159327597552
"LH_SalVentAttnA_Ins_2","Onset","MemoryDetail",-0.0343277858358182,0.0531984637092707,-0.645277766354671,0.524599495933863,0.74719544422221
"LH_SalVentAttnA_Ins_3","Onset","MemoryDetail",0.135401497705573,0.0868026406418607,1.55987763395617,0.130265192057066,0.32407438023953
"LH_SalVentAttnA_ParMed_1","Onset","MemoryDetail",-0.0594525519590755,0.0637256964312759,-0.932944719139967,0.359829588820056,0.606654843961086
"LH_SalVentAttnA_ParOper_1","Onset","MemoryDetail",0.0183996671215917,0.0562922882734245,0.326859463097687,0.743792750578633,0.908585156395456
"LH_SalVentAttnB_IPL_1","Onset","MemoryDetail",0.112050540603738,0.0857982634168968,1.30597678952173,0.203900436604802,0.440166021877032
"LH_SalVentAttnB_PFCl_1","Onset","MemoryDetail",-0.213366713855473,0.089019544653236,-2.39685245174658,0.0253925494398517,0.110214469909143
"LH_SalVentAttnB_PFCmp_1","Onset","MemoryDetail",-0.251477303747738,0.111077825773057,-2.26397394797347,0.0334596043339345,0.132539015225682
"LH_SalVentAttnB_PFCv_1","Onset","MemoryDetail",-0.0417470357309655,0.0660580645015355,-0.631974854939855,0.533544176026018,0.753238836742613
"LH_SomMotA_1","Onset","MemoryDetail",-0.00887903924481499,0.0623399290793958,-0.142429408822501,0.887899107638156,0.950454975883004
"LH_SomMotA_2","Onset","MemoryDetail",-0.114129373334143,0.0580620622213274,-1.9656445012079,0.0587223660104795,0.194786384815249
"LH_SomMotA_3","Onset","MemoryDetail",-0.0962958852496631,0.102127380538487,-0.942899785952839,0.354140995909458,0.604558687577653
"LH_SomMotA_4","Onset","MemoryDetail",-0.0106183755124781,0.0621851631634549,-0.170754163409808,0.865658285257199,0.950454975883004
"LH_SomMotA_5","Onset","MemoryDetail",-0.0973214435273106,0.0691583964134039,-1.40722527667585,0.171865931175222,0.388201061338489
