"ROI","Phase","Feature","Beta","SE","T","Df","Pvalue","Pfdr"
"LH_AMYG","Upcoming","MemoryDetail",0.121910093051681,0.0420629691549158,2.89827597768223,25.0459199326438,0.00769080325441663,0.0592046741094714
"LH_ContA_Cingm_1","Upcoming","MemoryDetail",-0.0211430632440417,0.0428067598707588,-0.493918794785597,23.8052121333128,0.625890230999344,0.778546384901624
"LH_ContA_IPS_1","Upcoming","MemoryDetail",0.254962404355609,0.104341989639697,2.4435263812394,28.098194360919,0.0210805542537341,0.108871723234475
"LH_ContA_IPS_2","Upcoming","MemoryDetail",0.165446284174583,0.0868288645728633,1.9054295479788,26.0926222640483,0.0677997711215896,0.206435124012004
"LH_ContA_IPS_3","Upcoming","MemoryDetail",0.213193938545856,0.0828376325791231,2.57363630403394,25.7904522127699,0.016169095629981,0.0916248752365589
"LH_ContA_PFCd_1","Upcoming","MemoryDetail",0.0906322882983885,0.0506004205803369,1.79113705496764,26.8822690412888,0.0845383801460928,0.237873511031765
"LH_ContA_PFCl_1","Upcoming","MemoryDetail",0.225527119000607,0.0739442544973076,3.04996135986223,25.9996376286021,0.00521145610359138,0.0433933487809241
"LH_ContA_PFCl_2","Upcoming","MemoryDetail",0.302610683516096,0.0710367243388123,4.2599188846713,27.4532191656221,0.00021561869750922,0.00645042599668834
"LH_ContA_PFCl_3","Upcoming","MemoryDetail",0.191243093301254,0.0667760818088595,2.86394601361413,25.1066644828854,0.00833142323397662,0.0629485311011567
"LH_ContA_PFClv_1","Upcoming","MemoryDetail",0.0860290745099109,0.0672309892060474,1.27960447296487,25.6382852610141,0.212143278510603,0.441604375675132
"LH_ContA_Temp_1","Upcoming","MemoryDetail",0.331120468990673,0.0819248517731725,4.04175853631637,25.975879946252,0.000419824549664217,0.00856442081315002
"LH_ContB_IPL_1","Upcoming","MemoryDetail",0.0315572533242664,0.0982767027511063,0.32110614663363,25.810735089206,0.750715653644811,0.861833723563533
