"ROI","Phase","Feature","Beta","SE","T","Df","Pvalue","Pfdr"
"LH_AMYG","Onset","MemoryDetail",0.107234477933228,0.0453129366435357,2.36653119123158,23.9937883799316,0.0263699036662433,0.122260462452582
"LH_ContA_Cingm_1","Onset","MemoryDetail",-0.0124812721800379,0.0557194490018259,-0.224002074744652,25.6463058400899,0.82453059039526,0.910123823669628
"LH_ContA_IPS_1","Onset","MemoryDetail",0.228062498239201,0.119152433054637,1.91403979249525,27.1114789563576,0.0662258819688959,0.215437879036634
"LH_ContA_IPS_2","Onset","MemoryDetail",0.197720433401167,0.0968834668052965,2.0408067539379,24.8602065608155,0.0520236968376611,0.1907104057985
"LH_ContA_IPS_3","Onset","MemoryDetail",0.206068093913943,0.0893556147493451,2.30615719551584,25.5566662877792,0.0294797080132403,0.131490617083231
"LH_ContA_PFCd_1","Onset","MemoryDetail",0.110275611557072,0.0656482813517474,1.67979434170117,26.8708394403161,0.104589082926813,0.288326661041484
"LH_ContA_PFCl_1","Onset","MemoryDetail",0.24108939448957,0.0791050850292175,3.04771045250154,25.7032500207718,0.0052810634158776,0.0478816416372903
"LH_ContA_PFCl_2","Onset","MemoryDetail",0.324245587538945,0.0752666037434122,4.30796092041452,27.4845370142294,0.000189120370574349,0.00551150794245246
"LH_ContA_PFCl_3","Onset","MemoryDetail",0.172214751245572,0.0710971133097485,2.42224674432681,25.0172422735625,0.0230006743341688,0.11040323680401
"LH_ContA_PFClv_1","Onset","MemoryDetail",0.0630353722760753,0.0786351537434948,0.801618223850551,24.2957356839853,0.430544693134937,0.653019460219532
"LH_ContA_Temp_1","Onset","MemoryDetail",0.349020134769836,0.0804113332448021,4.34043462141447,24.8502641044375,0.000208204536361317,0.00566316338902783
"LH_ContB_IPL_1","Onset","MemoryDetail",-0.0362406164533368,0.108300949633203,-0.334628796664088,24.4827773102649,0.740755033515759,0.866147296499921
"LH_ContB_PFCl_1","Onset","MemoryDetail",-0.0527754171960595,0.053189198269707,-0.992220580736162,22.1849687386309,0.331789487301038,0.583491856977687
"LH_ContB_PFClv_1","Onset","MemoryDetail",-0.00521065862320224,0.0953742206207741,-0.0546338265129401,22.1791297060703,0.956919345422275,0.97605773233072
"LH_ContB_PFClv_2","Onset","MemoryDetail",-0.178883648700509,0.0852696101583924,-2.09785934717215,22.2684896258273,0.0474801365625473,0.18626822805307
"LH_ContB_Temp_1","Onset","MemoryDetail",0.0361301723925343,0.0693718262380443,0.520819104120976,25.3735075435419,0.607008501762111,0.783239044430518
"LH_ContC_Cingp_1","Onset","MemoryDetail",-0.221341993260394,0.0737936087361569,-2.99947376271818,27.4467438315601,0.00569443252087178,0.0494325206067167
"LH_ContC_pCun_1","Onset","MemoryDetail",-0.172528964819568,0.0849848991955134,-2.03011319014045,25.1390496881273,0.0530527653386534,0.191553347417439
"LH_ContC_pCun_2","Onset","MemoryDetail",0.0365221534211703,0.0787375209945367,0.463846879605271,25.289883111876,0.646725257509256,0.811888938657774
"LH_DefaultA_IPL_1","Onset","MemoryDetail",-0.0864479456365281,0.105671902997419,-0.818078819292577,26.3862145878805,0.420638848403801,0.643003709537402
"LH_DefaultA_pCunPCC_1","Onset","MemoryDetail",-0.168686237057445,0.0679991519346437,-2.4807108950355,26.9389817058026,0.019653512905108,0.100232915816051
"LH_DefaultA_pCunPCC_2","Onset","MemoryDetail",-0.263743723757608,0.0544673657860361,-4.84223387621997,25.8664738030713,0.000051604010717317,0.00263180454658317
"LH_DefaultA_pCunPCC_3","Onset","MemoryDetail",-0.158562365970686,0.0617760271650505,-2.56672973720123,25.0585656445675,0.0166220867463785,0.0926762817648754
"LH_DefaultA_PFCd_1","Onset","MemoryDetail",0.0200088108486031,0.0597202297329824,0.335042429308549,25.1718585039474,0.740369168580765,0.866147296499921
"LH_DefaultA_PFCm_1","Onset","MemoryDetail",-0.14083873047359,0.0554422811740154,-2.54027661725431,25.2499011324054,0.0175949353512038,0.0944771780526981
"LH_DefaultA_PFCm_2","Onset","MemoryDetail",-0.208303254487207,0.0659598166482355,-3.15803264884878,25.9989292991772,0.00399700288041896,0.0388280279812128
"LH_DefaultA_PFCm_3","Onset","MemoryDetail",-0.257984289235862,0.0875141969789538,-2.94791357450156,24.8684142244524,0.00686345295518049,0.0549076236414439
"LH_DefaultB_IPL_1","Onset","MemoryDetail",0.00105024851603374,0.0908797134599803,0.0115564681714828,25.0289431061196,0.990871101775665,0.998210887714743
"LH_DefaultB_PFCd_1","Onset","MemoryDetail",-0.122369097912673,0.111954122047737,-1.0930289628862,22.4070204388179,0.285993576945719,0.545106567909498
"LH_DefaultB_PFCd_2","Onset","MemoryDetail",0.0438353580183161,0.0817021695811389,0.536526242118735,24.9338390352022,0.596350016444692,0.780390316465372
"LH_DefaultB_PFCd_3","Onset","MemoryDetail",-0.0791684827456583,0.0863288086076726,-0.917057515590712,24.337478791624,0.368111279415492,0.60135000995044
"LH_DefaultB_PFCd_4","Onset","MemoryDetail",0.152925748523958,0.0729601405809005,2.09601773388018,23.8065008295086,0.0468938300526175,0.185754200596776
"LH_DefaultB_PFCv_1","Onset","MemoryDetail",-0.067732558344951,0.053032538357996,-1.27718869286856,21.3412913942643,0.215256686025141,0.462235409990829
"LH_DefaultB_PFCv_2","Onset","MemoryDetail",0.0380609495946494,0.0391158875628016,0.973030447884931,22.0979665150621,0.341069688352015,0.593727625609549
"LH_DefaultB_PFCv_3","Onset","MemoryDetail",0.211509459087351,0.095031545232282,2.22567631169594,23.4096709618402,0.035938458125715,0.149621335870324
"LH_DefaultB_PFCv_4","Onset","MemoryDetail",0.212673551840537,0.0582564261112423,3.6506453628726,25.5858977712932,0.00117601504596464,0.0208614842936336
"LH_DefaultB_Temp_1","Onset","MemoryDetail",-0.0660588245048266,0.0383140002407826,-1.72414323979963,27.1119345922928,0.096068224390658,0.268464627064305
"LH_DefaultB_Temp_2","Onset","MemoryDetail",-0.103572666733036,0.0277976301883395,-3.72595311295575,25.2729494943398,0.00098474518773744,0.0191321922188988
"LH_DefaultB_Temp_3","Onset","MemoryDetail",0.0117197253255061,0.0402652614952259,0.291062938381654,25.1983237312562,0.773385569669364,0.888848767394649
"LH_DefaultB_Temp_4","Onset","MemoryDetail",-0.0408849708719876,0.0752657012549826,-0.543208529121104,21.2816456447282,0.592631003569863,0.780390316465372
"LH_DefaultC_IPL_1","Onset","MemoryDetail",0.396384138347171,0.108850134010912,3.64155856994566,28.2354856002246,0.00107900799984677,0.02001069381534
