"ROI","Phase","Feature","Beta","SE","T","Df","Pvalue","Pfdr"
"LH_AMYG","Epoch","MemoryDetail",-0.00572540748394396,0.0148997662405876,-0.384261564342378,25.2368703323789,0.704003398637532,0.78052550718509
"LH_ContA_Cingm_1","Epoch","MemoryDetail",0.00611263774567225,0.0155853690655216,0.392203592996382,28.4225865252149,0.697833429958834,0.78052550718509
"LH_ContA_IPS_1","Epoch","MemoryDetail",0.0862537154380974,0.0394859310269473,2.18441640338259,25.4143920486504,0.0383600563533866,0.0931601368582246
"LH_ContA_IPS_2","Epoch","MemoryDetail",0.085071523558645,0.0263733481263039,3.22566263301994,25.1915446453865,0.00346757149836882,0.0130997145493933
"LH_ContA_IPS_3","Epoch","MemoryDetail",0.0854551919608101,0.026107612406556,3.27319061697695,27.0376795943678,0.0029080421097714,0.0118648118078673
"LH_ContA_PFCd_1","Epoch","MemoryDetail",0.0832874148329084,0.018157312075227,4.58699032587217,26.95139113465,0.0000927468231605537,0.00070075377499085
"LH_ContA_PFCl_1","Epoch","MemoryDetail",0.0616923680297202,0.0243084210375894,2.53790108104191,24.6151413657378,0.0178724938057758,0.0506387324496981
"LH_ContA_PFCl_2","Epoch","MemoryDetail",0.114040121889415,0.0299768192791596,3.8042769256943,26.1600647853119,0.000771216558055233,0.0040798670679946
"LH_ContA_PFCl_3","Epoch","MemoryDetail",0.0805835590615592,0.0273925168633875,2.94180923437766,25.971693704749,0.0067797965816368,0.0226734180762936
"LH_ContA_PFClv_1","Epoch","MemoryDetail",0.0223394814459331,0.0180389698569289,1.23840117385374,24.8977719387424,0.227117162663728,0.361967977995317
"LH_ContA_Temp_1","Epoch","MemoryDetail",0.168828842124296,0.0292206862319842,5.77771653902847,27.2672576090932,0.00000367278466498095,0.000107035438808016
"LH_ContB_IPL_1","Epoch","MemoryDetail",0.0343045005328699,0.0318870901534699,1.07581157038053,25.1819888153532,0.292211198059996,0.426936668075139
"LH_ContB_PFCl_1","Epoch","MemoryDetail",0.0135328243055766,0.0270600112629113,0.500104163819206,25.5857135498508,0.621276010264302,0.722050012772096
"LH_ContB_PFClv_1","Epoch","MemoryDetail",-0.0160136041163143,0.0317172135131291,-0.504886852991851,26.9538203006306,0.617741557592326,0.722050012772096
"LH_ContB_PFClv_2","Epoch","MemoryDetail",-0.0705405126523315,0.027607986002964,-2.55507636974165,24.7158988764569,0.0171645007919751,0.0506387324496981
"LH_ContB_Temp_1","Epoch","MemoryDetail",0.0264382515535392,0.0281402325341958,0.939517877878643,25.9392556526674,0.356132083843295,0.484339634026881
