"ROI","Phase","Feature","Beta","SE","T","Df","Pvalue","Pfdr"
"LH_AMYG","Onset","MemoryDetail",0.104781659529194,0.0450204600348401,2.32742311935742,24.2557509994582,0.0286047660657033,0.110101363724594
"LH_ContA_Cingm_1","Onset","MemoryDetail",-0.00683136933588528,0.0618502874197016,-0.110450082301626,26.3148662925921,0.91289050613761,0.969946162771211
"LH_ContA_IPS_1","Onset","MemoryDetail",0.231061521863009,0.121465858476602,1.90227546045392,27.4429245526304,0.0676783531789216,0.204705899214124
"LH_ContA_IPS_2","Onset","MemoryDetail",0.180898387218123,0.103397275849331,1.74954693663037,25.1451923407478,0.092393517299581,0.25819558259061
"LH_ContA_IPS_3","Onset","MemoryDetail",0.193087404788874,0.0895918136907862,2.15519026610276,25.7024847850794,0.0406959694422429,0.140410962547076
"LH_ContA_PFCd_1","Onset","MemoryDetail",0.104231333735168,0.0650256998307419,1.60292521274629,26.6352179038318,0.120745526709477,0.308085775176675
"LH_ContA_PFCl_1","Onset","MemoryDetail",0.219171913566372,0.0760213054361965,2.88303275389449,26.1167640199962,0.00778304901152483,0.0492471593257319
"LH_ContA_PFCl_2","Onset","MemoryDetail",0.330205996050865,0.0784442502182844,4.20943530127461,27.7004439298802,0.000243310881462403,0.00754997097950426
"LH_ContA_PFCl_3","Onset","MemoryDetail",0.150489036840349,0.0751895150570596,2.00146305939261,25.3782194732701,0.0561426779180481,0.180363878665855
"LH_ContA_PFClv_1","Onset","MemoryDetail",0.0521170389554525,0.0797267636395293,0.65369565471252,24.4407283807077,0.519411381400931,0.724401965799403
"LH_ContA_Temp_1","Onset","MemoryDetail",0.350598455771377,0.0855800876614065,4.09672933683478,25.9517617000776,0.000364183523316522,0.00843963061026021
"LH_ContB_IPL_1","Onset","MemoryDetail",-0.0608601652474306,0.106251488658458,-0.572793529915275,24.1808805545251,0.572072770835774,0.754600925883518
"LH_ContB_PFCl_1","Onset","MemoryDetail",-0.0703663237592068,0.0532821492890934,-1.3206359859363,20.9732052458656,0.200853116519836,0.420302521731681
"LH_ContB_PFClv_1","Onset","MemoryDetail",-0.0467148153327016,0.102279052010599,-0.456738837664049,22.3167878604308,0.652273272832364,0.816090957973561
"LH_ContB_PFClv_2","Onset","MemoryDetail",-0.23701445195419,0.0932682669199803,-2.54121213764524,22.1472083837929,0.0185542617963824,0.0831883386035607
"LH_ContB_Temp_1","Onset","MemoryDetail",0.0220935160753123,0.0668160171281893,0.330661973354757,24.775587977542,0.743679971127094,0.895048460825529
