SubID,Run,Trial,Segment,Beta
sub-s028,1,1,Anterior,0.56996598853279
sub-s028,1,2,Anterior,1.03681778515719
sub-s028,1,3,Anterior,0.124444667970942
sub-s028,1,4,Anterior,0.418846310867417
sub-s028,1,5,Anterior,-0.517030229611743
sub-s028,1,6,Anterior,-0.556317689039955
sub-s028,1,7,Anterior,-1.94789511601501
sub-s028,1,8,Anterior,1.39052891310289
sub-s028,1,9,Anterior,0.514842292384034
sub-s028,1,10,Anterior,-0.722270117261477
sub-s028,1,11,Anterior,1.14213187013557
sub-s028,1,12,Anterior,0.786067260759732
sub-s028,1,13,Anterior,-0.320996736611931
sub-s028,1,14,Anterior,-0.688701969567656
sub-s028,1,15,Anterior,2.42528737435538
sub-s028,1,16,Anterior,-3.23468808044169
sub-s028,1,17,Anterior,-2.6934578215418
sub-s028,1,18,Anterior,2.95034151881813
sub-s028,1,19,Anterior,0.0436340875683292
sub-s028,1,20,Anterior,-0.496764125512733
sub-s028,1,21,Anterior,1.34841998008591
sub-s028,1,22,Anterior,-3.96237304471734
sub-s028,1,23,Anterior,0.129650800879444
sub-s028,1,24,Anterior,2.39237895402156
sub-s028,2,1,Anterior,0.625761233557451
sub-s028,2,2,Anterior,-1.37973537452279
sub-s028,2,3,Anterior,1.69310002755975
sub-s028,2,4,Anterior,-0.64022309964733
sub-s028,2,5,Anterior,1.30064226811632
sub-s028,2,6,Anterior,-0.431620027148916
sub-s028,2,7,Anterior,1.49658495001495
sub-s028,2,8,Anterior,-0.57565149305869
sub-s028,2,9,Anterior,0.386365252096326
sub-s028,2,10,Anterior,-1.09120032434622
sub-s028,2,11,Anterior,0.82925704497123
sub-s028,2,12,Anterior,1.03916337052285
sub-s028,2,13,Anterior,0.274512289001817
sub-s028,2,14,Anterior,-0.60673603559694
sub-s028,2,15,Anterior,1.19281114284099
sub-s028,2,16,Anterior,3.620217076683
sub-s028,2,17,Anterior,-0.642228780218565
sub-s028,2,18,Anterior,-0.569240200483511
sub-s028,2,19,Anterior,-0.288211582348712
sub-s028,2,20,Anterior,0.30346596418249
sub-s028,2,21,Anterior,0.314767703047818
sub-s028,2,22,Anterior,1.47590946162029
sub-s028,2,23,Anterior,0.956653943495645
sub-s028,2,24,Anterior,-1.44507098131843
sub-s028,3,1,Anterior,0.381080364868526
sub-s028,3,2,Anterior,1.97505873889332
sub-s028,3,3,Anterior,-1.26834530852014
sub-s028,3,4,Anterior,1.63844110316507
sub-s028,3,5,Anterior,1.03302594361406
sub-s028,3,6,Anterior,1.64693306969298
sub-s028,3,7,Anterior,0.255030832103183
sub-s028,3,8,Anterior,1.85368086872322
sub-s028,3,9,Anterior,-1.34744151699687
sub-s028,3,10,Anterior,1.67800129066792
sub-s028,3,11,Anterior,-1.54220463551821
sub-s028,3,12,Anterior,3.59012182468488
sub-s028,3,13,Anterior,2.78781302910178
sub-s028,3,14,Anterior,0.490891863006137
sub-s028,3,15,Anterior,2.3713842001293
sub-s028,3,16,Anterior,-0.528194946236908
sub-s028,3,17,Anterior,0.777358093088673
